ID;Storey;From;From description;To;To Description;Class;Item code;Type;Cable type 2;Length/qty;Calculated length;Plan unit;Diameter;Weight;To parts list;To cable list;Electrotechnical calculations;System;Neutral wire;Protective wire;PEN wire;Space name;Storey description;Occurrences;Occurrence documents;Occurrence count;Dynamic customer ID;From location;From customer ID;To Customer ID;Replacing product;GUID
#_W1567;1korrus;-KK.A104;Ühenduskarp;-KK.A103;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;6906,677721;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A104;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1567;;KK.A104;KK.A103;;31a68675-699d-4e32-8687-4a66e70ce771
#_W1892;1korrus;-KK.A104;Ühenduskarp;-KK.A102;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4399,893723;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A104;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1892;;KK.A104;KK.A102;;5de147d2-64bb-44d4-bdab-9b76ce731ffa
#_W1813;1korrus;-KK.A108;Ühenduskarp;-KK.A102;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;12301,69158;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A108;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1813;;KK.A108;KK.A102;;1cd6a188-7e90-4461-996f-bdd94e3e463c
#_W1565;1korrus;-KK.A109;Ühenduskarp;-KK.A108;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;1467,594692;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A109;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1565;;KK.A109;KK.A108;;47dd37d4-dde2-4260-b854-da718b8ece56
#_W1557;1korrus;-KK.A110;Ühenduskarp;-KK.A111;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;1553,79288;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A110;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1557;;KK.A110;KK.A111;;cd17cf62-1a88-49da-bbe7-d374ccb4b0f3
#_W1558;1korrus;-KK.A111;Ühenduskarp;-KK.A113;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;6387,862542;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A111;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1558;;KK.A111;KK.A113;;26869f65-6246-4d43-b4fb-7c4d7315d932
#_W1559;1korrus;-KK.A113;Ühenduskarp;-KK.A121;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4689,13238;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A113;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1559;;KK.A113;KK.A121;;1948a39f-c1f9-4aa6-b59a-570c168b4606
#_W1902;1korrus;-KK.A117;Ühenduskarp;-KK.A114;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;9355,376666;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;L.K1.1;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1902;;KK.A117;KK.A114;;2b65793d-e3e5-4974-baf3-aaa74ad83ce2
#_W1562;1korrus;-KK.A118;Ühenduskarp;-KK.A114;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4860,978334;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A118;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1562;;KK.A118;KK.A114;;10e2cf5a-ccfa-48f7-a80e-0a854373ef17
#_W1561;1korrus;-KK.A120;Ühenduskarp;-KK.A118;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;1813,899901;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A120;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1561;;KK.A120;KK.A118;;37718935-bd14-4fec-99c0-2e8f02e6b2ff
#_W1560;1korrus;-KK.A121;Ühenduskarp;-KK.A120;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;2995,437604;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A121;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1560;;KK.A121;KK.A120;;e77fa7f6-0535-4d56-8b63-5b12f1d18be5
#_W1583;1korrus;-KK.A123;Ühenduskarp;-KK.A122;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4619,883085;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A123;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1583;;KK.A123;KK.A122;;2d7952b8-010c-4c79-b5cf-eed4d4765d2f
#_W1581;1korrus;-KK.A124;Ühenduskarp;-KK.A126;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;3340,670814;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A124;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1581;;KK.A124;KK.A126;;70740a06-4475-43e7-a608-70200d1c1ddf
#_W1588;1korrus;-KK.A125;Ühenduskarp;-KK.A130;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;2172,580489;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A125;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1588;;KK.A125;KK.A130;;589a2d57-dc3f-438b-b66e-00cc5bc3ff25
#_W1582;1korrus;-KK.A126;Ühenduskarp;-KK.A123;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;2626,407451;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1582;;KK.A126;KK.A123;;749d8776-0b0a-4bb8-934a-76da493f041f
